director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Pankaj Kapoor,Shahid Kapoor,Sonam Kapoor,Anupam Kher,Romance,mausam,Shahid Kapoor Sonam Kapoor Anupam Kher Pankaj Kapoor Romance
Robert Lieberman,Anupam Kher,Gurpreet Guggi,Vinay Virmani,Drama,speedy singhs,Anupam Kher Gurpreet Guggi Vinay Virmani Robert Lieberman Drama
Aron Govil,Mikaal Zulfikaar,Priti Soni,Aman Verma,Romance,u r my jaan,Mikaal Zulfikaar Priti Soni Aman Verma Aron Govil Romance
Nishikant Kamat,John Abraham,Genelia D'Souza,unknown,Action,force,John Abraham Genelia D'Souza unknown Nishikant Kamat Action
Sagar Ballary,Tusshar Kapoor,Shreyas Talpade,Minnisha Lamba,Romance/Comedy,hum tum shabana,Tusshar Kapoor Shreyas Talpade Minnisha Lamba Sagar Ballary Romance/Comedy
Tigmanshu Dhulia,Jimmy Sheirgill,Mahie Gill,Randeep Hooda,Action/Thriller,"saheb, biwi aur gangster",Jimmy Sheirgill Mahie Gill Randeep Hooda Tigmanshu Dhulia Action/Thriller
Deepa Sahi,Vinay Pathak,Riya Sen,Jagrat Desai,Romantic/Comedy,tere mere phere,Vinay Pathak Riya Sen Jagrat Desai Deepa Sahi Romantic/Comedy
Dev Anand,Dev Anand,Jackie Shroff,Naseeruddin Shah,Drama/Thriller,chargesheet,Dev Anand Jackie Shroff Naseeruddin Shah Dev Anand Drama/Thriller
Pammi Somal,Garry Gill,Amrita Prakash,Sharat Saxena,Romance,na jaane kabse hum hi,Garry Gill Amrita Prakash Sharat Saxena Pammi Somal Romance
David Dhawan,Ajay Devgn,Sanjay Dutt,Arjun Rampal,Comedy/Action,rascals,Ajay Devgn Sanjay Dutt Arjun Rampal David Dhawan Comedy/Action
Sahil Sangha,Zayed Khan,Dia Mirza,Cyrus Sahukar,Romantic,love breakups zindagi,Zayed Khan Dia Mirza Cyrus Sahukar Sahil Sangha Romantic
Raghav Dar,Prateik Babbar,Kalki Koechlin,Manisha Koirala,Romance/Comedy/Crime,my friend pinto,Prateik Babbar Kalki Koechlin Manisha Koirala Raghav Dar Romance/Comedy/Crime
Nupur Asthana,Saqib Saleem,Saba Azad,Nishant Dahiya,Comedy/Romance,mujhse fraaandship karoge,Saqib Saleem Saba Azad Nishant Dahiya Nupur Asthana Comedy/Romance
Nagesh Kukunoor,Ayesha Takia,Rannvijay Singh,Raghuvir Yadav,Romance/Drama,mod,Ayesha Takia Rannvijay Singh Raghuvir Yadav Nagesh Kukunoor Romance/Drama
Prashant Chadha,Sachiin J Joshi,Candice Boucher,Arya Babbar,Action/Thriller,aazaan,Sachiin J Joshi Candice Boucher Arya Babbar Prashant Chadha Action/Thriller
Ashu Trikha,Shreyas Talpade,Mugdha Godse,Johnny Lever,Comedy,oh god! saare hain fraud,Shreyas Talpade Mugdha Godse Johnny Lever Ashu Trikha Comedy
Anubhav Sinha,Shahrukh Khan,Kareena Kapoor,Arjun Rampal,Action/Sci-Fi,ra.one,Shahrukh Khan Kareena Kapoor Arjun Rampal Anubhav Sinha Action/Sci-Fi
"Mayur Puri, Hema Malini",Esha Deol,Vinod Khanna,Rishi Kapoor,Drama,tell me o kkhuda,"Esha Deol Vinod Khanna Rishi Kapoor Mayur Puri, Hema Malini Drama"
Swapna Waghmare,Himesh Reshammiya,Purbi Joshi,Sonal Sehgal,Comedy,damadamm!,Himesh Reshammiya Purbi Joshi Sonal Sehgal Swapna Waghmare Comedy
Rajneesh Thakur,Govinda,Suniel Shetty,Javed Jaffrey,Comedy,loot,Govinda Suniel Shetty Javed Jaffrey Rajneesh Thakur Comedy
Tanveer Khan,Chirag Paswan,Kangana Ranaut,Kabir Bedi,Romance/Drama,miley naa miley hum,Chirag Paswan Kangana Ranaut Kabir Bedi Tanveer Khan Romance/Drama
Imtiaz Ali,Ranbir Kapoor,Nargis Fakhri,Shammi Kapoor,Romance/Drama,rockstar,Ranbir Kapoor Nargis Fakhri Shammi Kapoor Imtiaz Ali Romance/Drama
Shubh Mukherjee,Shubh Mukherjee,Pratik Katare,Saurabh Shukla,Comedy,shakal pe mat ja,Shubh Mukherjee Pratik Katare Saurabh Shukla Shubh Mukherjee Comedy
Rohit Dhawan,Akshay Kumar,John Abraham,Deepika Padukone,Comedy,desi boyz,Akshay Kumar John Abraham Deepika Padukone Rohit Dhawan Comedy
Milan Luthria,Vidya Balan,Naseeruddin Shah,Tusshar Kapoor,Drama,the dirty picture,Vidya Balan Naseeruddin Shah Tusshar Kapoor Milan Luthria Drama
Maneesh Sharma,Ranveer Singh,Anushka Sharma,Parineeti Chopra,Romance/Comedy/Crime,ladies vs ricky bahl,Ranveer Singh Anushka Sharma Parineeti Chopra Maneesh Sharma Romance/Comedy/Crime
Pawan Gill,Sunny Gill,Simran Kaur Mundi,Achint Kaur,Romance/Drama,jo hum chahein,Sunny Gill Simran Kaur Mundi Achint Kaur Pawan Gill Romance/Drama
Saurabh Shukla,Vinay Pathak,Neha Dhupia,Rajat Kapoor,Romance/Comedy,pappu can't dance saala,Vinay Pathak Neha Dhupia Rajat Kapoor Saurabh Shukla Romance/Comedy
Farhan Akhtar,Shahrukh Khan,Priyanka Chopra,Lara Dutta,Action/Thriller,don 2,Shahrukh Khan Priyanka Chopra Lara Dutta Farhan Akhtar Action/Thriller
Abbas-Mustan,Abhishek Bachchan,Sonam Kapoor,Bipasha Basu,Action/Thriller,players,Abhishek Bachchan Sonam Kapoor Bipasha Basu Abbas-Mustan Action/Thriller
Hriday Shetty,Naseeruddin Shah,Atul Kulkarni,Kay Kay Menon,Comedy/Crime,chaalis chauraasi,Naseeruddin Shah Atul Kulkarni Kay Kay Menon Hriday Shetty Comedy/Crime
Puja Jatinder Bedi,Shiney Ahuja,Sayali Bhagat,Deepraj Rana[5],Adult/Horror,ghost,Shiney Ahuja Sayali Bhagat Deepraj Rana[5] Puja Jatinder Bedi Adult/Horror
Muazzam Beg,Karanvir Sharma,Shaurya Chauhan,Bhaumik Sampat,Comedy,sadda adda,Karanvir Sharma Shaurya Chauhan Bhaumik Sampat Muazzam Beg Comedy
Karan Malhotra,Hrithik Roshan,Sanjay Dutt,Priyanka Chopra,Action/Drama,agneepath,Hrithik Roshan Sanjay Dutt Priyanka Chopra Karan Malhotra Action/Drama
Rumi Jaffrey,Akshaye Khanna,Shriya Saran,Mugdha Godse,Drama,gali gali chor hai,Akshaye Khanna Shriya Saran Mugdha Godse Rumi Jaffrey Drama
Anant Mahadevan,Anant Mahadevan,Saurabh Shukla,Chandan Roy Sanyal[9],Social,staying alive,Anant Mahadevan Saurabh Shukla Chandan Roy Sanyal[9] Anant Mahadevan Social
Rafeeg Ellias,Yuki Ellias,Chandan Roy Sanyal,Sheeba Chaddha,Comedy,love you to death,Yuki Ellias Chandan Roy Sanyal Sheeba Chaddha Rafeeg Ellias Comedy
Shakun Batra,Imran Khan,Kareena Kapoor,Boman Irani,Romance/Comedy,ek main aur ekk tu,Imran Khan Kareena Kapoor Boman Irani Shakun Batra Romance/Comedy
Krishan Kumar,Payal Rohatgi,Sangram Singh,Rahul Minz,Adult/Romance/Thriller,valentine's night,Payal Rohatgi Sangram Singh Rahul Minz Krishan Kumar Adult/Romance/Thriller
Gautham Menon,Prateik Babbar,Amy Jackson,Manu Rishi,Romance,ekk deewana tha,Prateik Babbar Amy Jackson Manu Rishi Gautham Menon Romance
Allyson PatelYash Dave,Maanvi Gagroo,Akhlaque Khan,Yaman Chatwal,Adult/Horror,?: a question mark,Maanvi Gagroo Akhlaque Khan Yaman Chatwal Allyson PatelYash Dave Adult/Horror
Dilip Shankar,Jackie Shroff,Archana Joglekar,Anjali Malhotra,Drama,married 2 america,Jackie Shroff Archana Joglekar Anjali Malhotra Dilip Shankar Drama
Ashwini Chaudhary,Madhavan,Bipasha Basu,Omi Vaidya,Romance,jodi breakers,Madhavan Bipasha Basu Omi Vaidya Ashwini Chaudhary Romance
Mandeep Kumar,Riteish Deshmukh,Genelia D'Souza,Om Puri[16],Romance/Comedy,tere naal love ho gaya,Riteish Deshmukh Genelia D'Souza Om Puri[16] Mandeep Kumar Romance/Comedy
Anu Menon,Ali Zafar,Aditi Rao Hydari[17],unknown,Romance,"london, paris, new york",Ali Zafar Aditi Rao Hydari[17] unknown Anu Menon Romance
Tigmanshu Dhulia,Irrfan Khan,Mahie Gill[18],unknown,Crime,paan singh tomar,Irrfan Khan Mahie Gill[18] unknown Tigmanshu Dhulia Crime
Aditya Dutt,Shreyas Talpade,Mugdha Godse,Rajeev Khandelwal,Romance,will you marry me?,Shreyas Talpade Mugdha Godse Rajeev Khandelwal Aditya Dutt Romance
Sujoy Ghosh,Vidya Balan,Parambrata Chatterjee[20],unknown,Drama/Thriller,kahaani,Vidya Balan Parambrata Chatterjee[20] unknown Sujoy Ghosh Drama/Thriller
Samir Karnik,Tusshar Kapoor,Kulraj Randhawa,Anupam Kher[20],Comedy,chaar din ki chandni,Tusshar Kapoor Kulraj Randhawa Anupam Kher[20] Samir Karnik Comedy
Mahrukh Mirza Beg,Asad Mirza,Nazia Hussain,Aditya Raj Kapoor[21],Romance,say yes to love,Asad Mirza Nazia Hussain Aditya Raj Kapoor[21] Mahrukh Mirza Beg Romance
Dweep Raj Kochhar,Dweep Raj Kochhar[22],unknown,unknown,Romance,akkad bakkkad bam be bo,Dweep Raj Kochhar[22] unknown unknown Dweep Raj Kochhar Romance
Ashu Trikha,Mithun Chakraborthy,Ranjeeta Kaur,Ashish Sharma[22],Romance,zindagi tere naam,Mithun Chakraborthy Ranjeeta Kaur Ashish Sharma[22] Ashu Trikha Romance
Sriram Raghavan,Saif Ali Khan,Kareena Kapoor[21],unknown,Suspense/Thriller,agent vinod,Saif Ali Khan Kareena Kapoor[21] unknown Sriram Raghavan Suspense/Thriller
Vishal Mahadkar,Kunal Khemu,Amrita Puri[23],unknown,Thriller,blood money,Kunal Khemu Amrita Puri[23] unknown Vishal Mahadkar Thriller
Jagdish Rajpurohit,Sharat Saxena,Sanjay Mishra[21],unknown,Comedy,bumboo,Sharat Saxena Sanjay Mishra[21] unknown Jagdish Rajpurohit Comedy
Sajid Khan,Akshay Kumar,Asin Thottumkal,Jacqueline Fernandez,Action Comedy,housefull 2,Akshay Kumar Asin Thottumkal Jacqueline Fernandez Sajid Khan Action Comedy
Supavitra Babul,Pulkit Samrat,Amita Pathak[25],unknown,Comedy,bittoo boss,Pulkit Samrat Amita Pathak[25] unknown Supavitra Babul Comedy
Shoojit Sircar,Ayushmann Khurrana,Yami Gautam,Annu Kapoor[26],Comedy,vicky donor,Ayushmann Khurrana Yami Gautam Annu Kapoor[26] Shoojit Sircar Comedy
Deepak Tanwar,Sourabh Malik,Rekha Rana,Omkar Das Manikpuri[27],Drama,ab hoga dharna unlimited,Sourabh Malik Rekha Rana Omkar Das Manikpuri[27] Deepak Tanwar Drama
Vivek Agnihotri,Paoli Dam,Gulshan Devaiya,Nikhil Dwivedi[26],Adult/Thriller,hate story,Paoli Dam Gulshan Devaiya Nikhil Dwivedi[26] Vivek Agnihotri Adult/Thriller
Pramod Joshi,Sachin Khedekar,Anjan Srivastav,Atul Parchure,Comedy,chhodo kal ki baatein,Sachin Khedekar Anjan Srivastav Atul Parchure Pramod Joshi Comedy
Priyadarshan,Ajay Devgn,Anil Kapoor,Kangana Ranaut,Action,tezz,Ajay Devgn Anil Kapoor Kangana Ranaut Priyadarshan Action
Rakesh Mehta,Ranvir Shorey,Kay Kay Menon,Manu Rishi,Comedy,life ki toh lag gayi,Ranvir Shorey Kay Kay Menon Manu Rishi Rakesh Mehta Comedy
Kunal Deshmukh,Emraan Hashmi,Randeep Hooda,Esha Gupta[29],Crime/Thriller,jannat 2,Emraan Hashmi Randeep Hooda Esha Gupta[29] Kunal Deshmukh Crime/Thriller
Rajat Kapoor,Ranvir Shorey,Gul Panag,Purab Kohli[29],Comedy,fatso!,Ranvir Shorey Gul Panag Purab Kohli[29] Rajat Kapoor Comedy
Ashvin Kumar,Ankur Vikal,Nandana Sen,Jaaved Jaaferi[29],Horror,the forest,Ankur Vikal Nandana Sen Jaaved Jaaferi[29] Ashvin Kumar Horror
Chandra Pemmaraju,Melanie Kannokada,Arjun Gupta,Lavrenti Lopes[29],Comedy,"love, lies & seeta",Melanie Kannokada Arjun Gupta Lavrenti Lopes[29] Chandra Pemmaraju Comedy
Vikram Bhatt,Karisma Kapoor,Rajneesh Duggal,Jimmy Sheirgill,Romance/Thriller,dangerous ishq,Karisma Kapoor Rajneesh Duggal Jimmy Sheirgill Vikram Bhatt Romance/Thriller
Rajiv Chilaka,Voice-over by Kaustav Ghosh,Rupa Bhimani[31],unknown,Animation,chhota bheem and the curse of damyaan,Voice-over by Kaustav Ghosh Rupa Bhimani[31] unknown Rajiv Chilaka Animation
Habib Faisal,Arjun Kapoor,Parineeti Chopra[32],unknown,Romance,ishaqzaade,Arjun Kapoor Parineeti Chopra[32] unknown Habib Faisal Romance
Ram Gopal Varma,Amitabh Bachchan,Sanjay Dutt,Rana Daggubati,Adult/Action/Crime,department,Amitabh Bachchan Sanjay Dutt Rana Daggubati Ram Gopal Varma Adult/Action/Crime
Karan Razdan,Anupam Kher,Abid Ali[34],unknown,Comedy Film,mr. bhatti on chutti,Anupam Kher Abid Ali[34] unknown Karan Razdan Comedy Film
Arnab Chaudhuri,Voice-over by Yuddvir Bakolia,Anjan Srivastav,Sachin Khedekar,Computer-Animated,arjun: the warrior prince,Voice-over by Yuddvir Bakolia Anjan Srivastav Sachin Khedekar Arnab Chaudhuri Computer-Animated
Shiv Dube,Mukesh Tiwari,Omkar Das Manikpuri[36],unknown,Crime,mla,Mukesh Tiwari Omkar Das Manikpuri[36] unknown Shiv Dube Crime
Anil Balani,Maanas Srivastavam,Sayantani Nandi[37],unknown,romantic comedy,rakhtbeej,Maanas Srivastavam Sayantani Nandi[37] unknown Anil Balani romantic comedy
Gitanjali Sinha,Raghuveer Yadav,Yashpal Sharma[37],unknown,Romantic,yeh khula aasmaan,Raghuveer Yadav Yashpal Sharma[37] unknown Gitanjali Sinha Romantic
Sandeep Mohan,Ash Chandler,Shernaz Patel[37],unknown,Adult/Romantic,"love, wrinkle-free",Ash Chandler Shernaz Patel[37] unknown Sandeep Mohan Adult/Romantic
Prabhu Deva,Akshay Kumar,Sonakshi Sinha,Paresh Ganatra,Action/comedy,rowdy rathore,Akshay Kumar Sonakshi Sinha Paresh Ganatra Prabhu Deva Action/comedy
Dibakar Banerjee,Emraan Hashmi,Abhay Deol,Kalki Koechlin,Political/Thriller,shanghai,Emraan Hashmi Abhay Deol Kalki Koechlin Dibakar Banerjee Political/Thriller
Azim Rizvi,Faith,Rakhi Sawant,Satish Kaushik,Romance,qasam se qasam se,Faith Rakhi Sawant Satish Kaushik Azim Rizvi Romance
Rajesh Mapuskar,Sharman Joshi,Boman Irani[41],unknown,Drama/Comedy,ferrari ki sawaari,Sharman Joshi Boman Irani[41] unknown Rajesh Mapuskar Drama/Comedy
Kunal Kohli,Shahid Kapoor,Priyanka Chopra,Prachi Desai[42],Romance/Comedy,teri meri kahaani,Shahid Kapoor Priyanka Chopra Prachi Desai[42] Kunal Kohli Romance/Comedy
Anurag Kashyap,Manoj Bajpai,Nawazuddin Siddiqui,Piyush Mishra,Adult/Crime/Thriller,gangs of wasseypur,Manoj Bajpai Nawazuddin Siddiqui Piyush Mishra Anurag Kashyap Adult/Crime/Thriller
Kabeer Kaushik,Sonu Sood,Naseeruddin Shah,Neha Dhupia,Thriller,maximum,Sonu Sood Naseeruddin Shah Neha Dhupia Kabeer Kaushik Thriller
Rohit Shetty,Ajay Devgn,Abhishek Bachchan,Asin Thottumkal,Comedy/Action,bol bachchan,Ajay Devgn Abhishek Bachchan Asin Thottumkal Rohit Shetty Comedy/Action
Ajay Sinha,Sharman Joshi,Riya Sen,Raima Sen[46],Comedy,3 bachelors,Sharman Joshi Riya Sen Raima Sen[46] Ajay Sinha Comedy
Homi Adajania,Saif Ali Khan,Deepika Padukone,Diana Penty,Romance,cocktail,Saif Ali Khan Deepika Padukone Diana Penty Homi Adajania Romance
Rajan Khosa,Sarvasva,Mohammad Samad,Naresh Kumar[48],Children,gattu,Sarvasva Mohammad Samad Naresh Kumar[48] Rajan Khosa Children
Vickrant Mahajan,Kainaz Motivala,Vickrant Mahajan,Prem Chopra,Comedy,challo driver,Kainaz Motivala Vickrant Mahajan Prem Chopra Vickrant Mahajan Comedy
Rajnish Raj Thakur,Suniel Shetty,Rajpal Yadav[50],unknown,Comedy,mere dost picture abhi baki hai,Suniel Shetty Rajpal Yadav[50] unknown Rajnish Raj Thakur Comedy
Sachin Yardi,Tusshar Kapoor,Riteish Deshmukh,Neha Sharma,Adult/Comedy,kyaa super kool hain hum,Tusshar Kapoor Riteish Deshmukh Neha Sharma Sachin Yardi Adult/Comedy
Manish Manikpuri,Amit Purohit,Pitobash Tripathy,Gamya Wijayadasa,Social,aalaap,Amit Purohit Pitobash Tripathy Gamya Wijayadasa Manish Manikpuri Social
Ajay Yadav,Swati Sharma,Yashpal Sharma,Satish Kaushik[52],Drama,overtime,Swati Sharma Yashpal Sharma Satish Kaushik[52] Ajay Yadav Drama
Pooja Bhatt,Sunny Leone,Arunoday Singh,Randeep Hooda[53],Adult/Thriller,jism 2,Sunny Leone Arunoday Singh Randeep Hooda[53] Pooja Bhatt Adult/Thriller
Vikram Veturi,Voice-over by Om Puri,Juhi Chawla,Manoj Bajpai,Computer-Animated,krishna aur kans,Voice-over by Om Puri Juhi Chawla Manoj Bajpai Vikram Veturi Computer-Animated
Anurag Kashyap,Nawazuddin Siddiqui,Tigmanshu Dhulia,Piyush Mishra,Adult/Crime/Thriller,gangs of wasseypur – part 2,Nawazuddin Siddiqui Tigmanshu Dhulia Piyush Mishra Anurag Kashyap Adult/Crime/Thriller
Faisal Saif,Meera,Abhishek Kumar,Kavita Radheshyam,Thriller,paanch ghantey mien paanch crore,Meera Abhishek Kumar Kavita Radheshyam Faisal Saif Thriller
Kabir Khan,Salman Khan,Katrina Kaif,Ranvir Shorey,Romance/Action,ek tha tiger,Salman Khan Katrina Kaif Ranvir Shorey Kabir Khan Romance/Action
Bela Sehgal,Boman Irani,Farah Khan[58],unknown,Romance/Comedy,shirin farhad ki toh nikal padi,Boman Irani Farah Khan[58] unknown Bela Sehgal Romance/Comedy
Shirish Kunder,Akshay Kumar,Sonakshi Sinha,Shreyas Talpade,Drama,joker,Akshay Kumar Sonakshi Sinha Shreyas Talpade Shirish Kunder Drama
Nila Madhab Panda,Rahul Singh,Suhasini Mulay,Lehar Khan,Thriller/Social,jalpari: the desert mermaid,Rahul Singh Suhasini Mulay Lehar Khan Nila Madhab Panda Thriller/Social
Prateek Chakraborty,Sharad Malhotra,Prateek Chakraborty,Evelyn Sharma,Romantic,from sydney with love,Sharad Malhotra Prateek Chakraborty Evelyn Sharma Prateek Chakraborty Romantic
Saurabh Shukla,Ranvir Shorey,Neha Dhupia,Saurabh Shukla,Comedy,i m 24,Ranvir Shorey Neha Dhupia Saurabh Shukla Saurabh Shukla Comedy
Vikram Bhatt,Emraan Hashmi,Bipasha Basu,Esha Gupta[61],Adult/Suspense/Thriller,raaz 3: the third dimension,Emraan Hashmi Bipasha Basu Esha Gupta[61] Vikram Bhatt Adult/Suspense/Thriller
Pritish Chakraborty,Rahil Tandon,Bhavna Ruparel[62],unknown,Comedy,chal pichchur banate hain,Rahil Tandon Bhavna Ruparel[62] unknown Pritish Chakraborty Comedy
Anurag Basu,Ranbir Kapoor,Priyanka Chopra,Ileana D'Cruz[63],Romance/Comedy,barfi!,Ranbir Kapoor Priyanka Chopra Ileana D'Cruz[63] Anurag Basu Romance/Comedy
Manish Vatsalya,Ravi Kishan,Yashpal Sharma,Govind Namdev,Drama,jeena hai toh thok daal,Ravi Kishan Yashpal Sharma Govind Namdev Manish Vatsalya Drama
Madhur Bhandarkar,Kareena Kapoor,Arjun Rampal,Randeep Hooda,Adult/Drama,heroine,Kareena Kapoor Arjun Rampal Randeep Hooda Madhur Bhandarkar Adult/Drama
Priyadarshan,Paresh Rawal,Om Puri,Nana Patekar,Comedy,kamaal dhamaal malamaal,Paresh Rawal Om Puri Nana Patekar Priyadarshan Comedy
Umesh Shukla,Paresh Rawal,Akshay Kumar,Mithun Chakraborty,Comedy/Fantasy,omg – oh my god!,Paresh Rawal Akshay Kumar Mithun Chakraborty Umesh Shukla Comedy/Fantasy
Aditya Datt,Paresh Rawal,Rajeev Khandelwal,Tina Desai,Thriller/Drama,table no. 21,Paresh Rawal Rajeev Khandelwal Tina Desai Aditya Datt Thriller/Drama
Milind Ukey,Adhyayan Suman,Rohit Bakshi,Ragini Nandwani,Thriller,dehraadun diary,Adhyayan Suman Rohit Bakshi Ragini Nandwani Milind Ukey Thriller
Comedy,Gurdeep Singh Mehndi,unknown,unknown,[6],meri shadi karao,Gurdeep Singh Mehndi unknown unknown Comedy [6]
Vishal Bhardwaj,Imran Khan,Anushka Sharma,Pankaj Kapur,Comedy,matru ki bijlee ka mandola,Imran Khan Anushka Sharma Pankaj Kapur Vishal Bhardwaj Comedy
Rajesh Kumar,Mohd Nazim,Aanamika Bawa,Rohit Rajawat,Thriller,pyaar mein aisa hota hai,Mohd Nazim Aanamika Bawa Rohit Rajawat Rajesh Kumar Thriller
Priya Krishnaswamy,Sarita Joshi,Purab Kohli,Mita Vasisht,Drama,gangoobai,Sarita Joshi Purab Kohli Mita Vasisht Priya Krishnaswamy Drama
Sudhir Mishra,Arjun Rampal,Chitrangada Singh,Deepti Naval,Romance/Crime,inkaar,Arjun Rampal Chitrangada Singh Deepti Naval Sudhir Mishra Romance/Crime
Ankush Bhatt,Sachiin Joshi,Gihana Khan,Prakash Raj,Action,mumbai mirror,Sachiin Joshi Gihana Khan Prakash Raj Ankush Bhatt Action
Aditya Om,Aditya Om,Manisha Kelkar,Arshad Khan,Crime,bandook,Aditya Om Manisha Kelkar Arshad Khan Aditya Om Crime
Abbas-Mustan,Saif Ali Khan,Jacqueline Fernandez,John Abraham,Action/Thriller,race 2,Saif Ali Khan Jacqueline Fernandez John Abraham Abbas-Mustan Action/Thriller
Luv Ranjan,Kartik Tiwari,Nushrat Bharucha,unknown,Romance,akaash vani,Kartik Tiwari Nushrat Bharucha unknown Luv Ranjan Romance
Animation/Musical,Hrithik Roshan,Juhi Chawla,Rajneesh Duggal,[15],main krishna hoon,Hrithik Roshan Juhi Chawla Rajneesh Duggal Animation/Musical [15]
Bejoy Nambiar,Vikram,Lara Dutta,Vinay Virmani,Crime,david,Vikram Lara Dutta Vinay Virmani Bejoy Nambiar Crime
Kamal Haasan,Kamal Haasan,Pooja Kumar,Shekhar Kapur,Action,vishwaroopam,Kamal Haasan Pooja Kumar Shekhar Kapur Kamal Haasan Action
Mahesh Kodiyal,Asha Bhosle,Ram Kapoor,Padmini Kolhapure,Drama/Family,mai...,Asha Bhosle Ram Kapoor Padmini Kolhapure Mahesh Kodiyal Drama/Family
Avinash Kumar Singh,Farooq Sheikh,Deepti Naval,Swara Bhaskar,Drama,listen... amaya,Farooq Sheikh Deepti Naval Swara Bhaskar Avinash Kumar Singh Drama
Neeraj Pandey,Akshay Kumar,Kajal Aggarwal,Manoj Bajpayee,Drama/Heist,special 26,Akshay Kumar Kajal Aggarwal Manoj Bajpayee Neeraj Pandey Drama/Heist
Remo D'Souza,Prabhu Deva,Ganesh Acharya,Kay Kay Menon,Drama/Dance,abcd: any body can dance,Prabhu Deva Ganesh Acharya Kay Kay Menon Remo D'Souza Drama/Dance
Alok Shrivastava,Shadaab Khan,Anurita Jha[21],unknown,Thriller,the unsound,Shadaab Khan Anurita Jha[21] unknown Alok Shrivastava Thriller
Vinnil Markan,Vivek Oberoi,Neha Sharma[22],unknown,Comedy/Romance,jayantabhai ki luv story,Vivek Oberoi Neha Sharma[22] unknown Vinnil Markan Comedy/Romance
Vishesh Bhatt,Randeep Hooda,Aditi Rao Hydari,Mona Lizza,Thriller,murder 3,Randeep Hooda Aditi Rao Hydari Mona Lizza Vishesh Bhatt Thriller
Abhishek Kapoor,Sushant Singh Rajput,Rajkumar Rao,Amit Sadh,Drama,kai po che!,Sushant Singh Rajput Rajkumar Rao Amit Sadh Abhishek Kapoor Drama
Anand Kumar,Arshad Warsi,Vivek Oberoi,Sanjay Dutt,Action,zila ghaziabad,Arshad Warsi Vivek Oberoi Sanjay Dutt Anand Kumar Action
Kapil Sharma,John Abraham,Prachi Desai,Chitrangda Singh,Romance/Comedy,"i, me aur main",John Abraham Prachi Desai Chitrangda Singh Kapil Sharma Romance/Comedy
Arup Dutta,Akash Singh,Shilpa Anand,Tripta Parashar,Romance/Thriller,bloody isshq,Akash Singh Shilpa Anand Tripta Parashar Arup Dutta Romance/Thriller
Ram Gopal Varma,Nana Patekar,unknown,unknown,Action/Thriller/Docudrama,the attacks of 26/11,Nana Patekar unknown unknown Ram Gopal Varma Action/Thriller/Docudrama
Tigmanshu Dhulia,Jimmy Sheirgill,Mahie Gill,Irrfan Khan,Drama/Thriller,"saheb, biwi aur gangster returns",Jimmy Sheirgill Mahie Gill Irrfan Khan Tigmanshu Dhulia Drama/Thriller
Anshul Sharma,Sanjay Mishra,Ranjan Chhabra,Disha Pandey,Satire/Comedy,saare jahaan se mehnga,Sanjay Mishra Ranjan Chhabra Disha Pandey Anshul Sharma Satire/Comedy
"Shantanu, Sheershak Anand",Neil Nitin Mukesh,Sonal Chauhan,unknown,Romance/Thriller,3g - a killer connection,"Neil Nitin Mukesh Sonal Chauhan unknown Shantanu, Sheershak Anand Romance/Thriller"
Ashima Chibber,Saqib Saleem,Ram Kapoor,Rhea Chakraborty,Comedy,mere dad ki maruti,Saqib Saleem Ram Kapoor Rhea Chakraborty Ashima Chibber Comedy
Subhash Kapoor,Arshad Warsi,Amrita Rao,Boman Irani,Comedy/Satire,jolly llb,Arshad Warsi Amrita Rao Boman Irani Subhash Kapoor Comedy/Satire
Priyadarshan,Jackky Bhagnani,Priya Anand,Rajpal Yadav,Action,rangrezz,Jackky Bhagnani Priya Anand Rajpal Yadav Priyadarshan Action
"Shinjan Neogi, Abhishek Panchal",Vaibhav,Manju,unknown,Adventure,the adventures of sinbad,"Vaibhav Manju unknown Shinjan Neogi, Abhishek Panchal Adventure"
Sajid Khan,Ajay Devgn,Tamannaah,Mahesh Manjrekar,Action/Comedy,himmatwala,Ajay Devgn Tamannaah Mahesh Manjrekar Sajid Khan Action/Comedy
David Dhawan,Ali Zafar,Siddharth,Taapsee Pannu,Comedy/Romance,chashme baddoor,Ali Zafar Siddharth Taapsee Pannu David Dhawan Comedy/Romance
Rohan Sippy,Ayushmann Khurrana,Kunaal Roy Kapur,Pooja Salvi,Comedy/Romance,nautanki saala,Ayushmann Khurrana Kunaal Roy Kapur Pooja Salvi Rohan Sippy Comedy/Romance
Dilip Ghosh,Vidyut Jamwal,Pooja Chopra,Jaideep Ahlawat[39],Action/Romance,commando: a one man army,Vidyut Jamwal Pooja Chopra Jaideep Ahlawat[39] Dilip Ghosh Action/Romance
Kannan Iyer,Emraan Hashmi,Huma Qureshi,Konkona Sen Sharma,Horror,ek thi daayan,Emraan Hashmi Huma Qureshi Konkona Sen Sharma Kannan Iyer Horror
Mohit Suri,Aditya Roy Kapur,Shraddha Kapoor,Shaad Randhawa[41],Musical/Romance,aashiqui 2,Aditya Roy Kapur Shraddha Kapoor Shaad Randhawa[41] Mohit Suri Musical/Romance
Rajesh Bachchani,Hussain Kuwajerwala,Paresh Ganatra,Anjali Patil[42],Thriller,shree,Hussain Kuwajerwala Paresh Ganatra Anjali Patil[42] Rajesh Bachchani Thriller
